Epoch;Iterations;Time [s];Data;G_GAN;G_L1;D_real;D_fake
3;17744;0.003;0.012;0.248;3.688;0.424;0.097
3;18144;0.005;0.030;0.323;3.865;0.182;0.190
3;18544;0.003;0.005;0.495;3.661;0.140;0.273
3;18944;0.003;0.092;0.346;3.422;0.215;0.190
3;19344;0.004;0.009;0.342;4.262;0.229;0.205
3;19744;0.004;0.006;0.302;3.669;0.221;0.163
3;20144;0.005;0.077;0.341;3.074;0.254;0.145
3;20544;0.003;0.006;0.320;3.610;0.226;0.153
3;20944;0.003;0.009;0.303;3.884;0.273;0.144
3;21344;0.004;0.008;0.370;3.384;0.189;0.255
3;21744;0.003;0.089;0.375;3.046;0.339;0.091
3;22144;0.005;0.007;0.375;3.752;0.158;0.221
3;22544;0.004;0.007;0.331;3.648;0.259;0.160
3;22944;0.004;0.031;0.356;3.492;0.253;0.240
3;23344;0.003;0.009;0.366;3.722;0.207;0.159
3;23744;0.003;0.095;0.337;4.298;0.356;0.081
3;24144;0.006;0.006;0.323;3.789;0.284;0.152
3;24544;0.004;0.007;0.345;3.343;0.265;0.141
3;24944;0.004;0.009;0.557;4.224;0.113;0.219
3;25344;0.003;0.080;0.513;3.727;0.136;0.270
3;25744;0.004;0.005;0.270;3.794;0.392;0.113
3;26144;0.005;0.008;0.425;4.909;0.197;0.203
3;26544;0.003;0.006;0.426;3.979;0.158;0.175
3;26944;0.003;0.069;0.221;3.341;0.212;0.173
3;27344;0.003;0.009;0.317;3.509;0.274;0.223
3;27744;0.004;0.008;0.296;3.285;0.220;0.220
3;28144;0.005;0.006;0.321;3.786;0.260;0.165
3;28544;0.003;0.010;0.310;3.545;0.276;0.165
3;28944;0.003;0.012;0.291;3.259;0.204;0.178
3;29344;0.003;0.097;0.436;4.008;0.154;0.212
3;29744;0.003;0.006;0.380;3.714;0.145;0.245
3;30144;0.005;0.019;0.376;4.063;0.248;0.145
3;30544;0.004;0.006;0.347;3.814;0.190;0.200
4;16;0.006;0.068;0.361;3.731;0.290;0.108
4;416;0.003;0.011;0.310;3.690;0.232;0.218
4;816;0.003;0.006;0.306;4.125;0.185;0.245
4;1216;0.006;0.005;0.440;4.841;0.171;0.207
4;1616;0.004;0.007;0.419;4.034;0.150;0.220
4;2016;0.003;0.088;0.327;3.382;0.209;0.232
